App_ID,SPDI_Category,SPDI_Records_Exposed,Primary_Vulnerability,Rule_8_ISO27001_Audited,Rule_8_Encryption_Active,Rule_5_Explicit_Consent,Rule_5_Grievance_Mechanism,BCP_IR_Plan_Tested
APP_NLIU_0001,Rule_3_ii_Financial_Data,458814,CSRF,0,1,0,0,1
APP_NLIU_0002,Multi_Category_SPDI,1691051,XSS,1,1,1,1,0
APP_NLIU_0003,Rule_3_iii_v_Health_Medical_Records,901881,None,0,1,1,1,0
APP_NLIU_0004,Rule_3_iii_v_Health_Medical_Records,1605548,CSRF,0,1,1,0,1
APP_NLIU_0005,Rule_3_i_Passwords,1646455,None,0,0,0,1,0
APP_NLIU_0006,Rule_3_i_Passwords,1435541,SQL_Injection,0,1,1,1,1
APP_NLIU_0007,Rule_3_i_Passwords,738082,None,1,0,1,1,1
APP_NLIU_0008,Multi_Category_SPDI,269826,None,0,0,0,1,0
APP_NLIU_0009,Rule_3_iii_v_Health_Medical_Records,1164762,SSRF,1,1,1,1,1
APP_NLIU_0010,Rule_3_iii_v_Health_Medical_Records,772469,XSS,1,0,0,1,1
APP_NLIU_0011,Rule_3_i_Passwords,1599696,SSRF,1,1,1,1,0
APP_NLIU_0012,Multi_Category_SPDI,1594861,None,0,0,1,1,1
APP_NLIU_0013,Rule_3_vi_Biometric_Information,1350360,XSS,0,0,1,0,0
APP_NLIU_0014,Rule_3_ii_Financial_Data,1523674,Exception_Handling_Failure,0,1,1,1,1
APP_NLIU_0015,Rule_3_i_Passwords,1094067,SSRF,0,0,1,1,1
APP_NLIU_0016,Rule_3_i_Passwords,1116619,SSRF,1,0,1,0,1
APP_NLIU_0017,Rule_3_ii_Financial_Data,903607,SQL_Injection,0,1,1,1,0
APP_NLIU_0018,Rule_3_iii_v_Health_Medical_Records,1182144,CSRF,0,0,1,1,0
APP_NLIU_0019,Rule_3_ii_Financial_Data,1429970,XSS,1,0,1,0,1
APP_NLIU_0020,Rule_3_ii_Financial_Data,1650589,None,1,1,1,0,1
